N,P,K,temperature,humidity,ph,rainfall,label
46.81732807519984,39.09851137596959,65.96686000091717,20.456334715899263,73.45900800492737,6.224596589542356,193.22678388381672,cashew
60.727826066500114,56.70275280054916,88.044573648062,34.84630721016073,66.8042382208137,7.032051799038593,150.82017548906694,mango
115.74659508851482,79.51328739647431,112.44339378833874,34.977843878200645,74.89372376246546,6.763374377798851,273.45424631936464,coconut
61.53903906650824,30.835569859331493,57.12151375958405,29.730828202323586,67.80391934499805,5.74781731749694,187.56533876745857,cashew
88.78529026901353,69.1036154932445,91.81485158197457,32.04085668642335,75.20231966030798,6.912857459257493,229.5132745371636,coconut
84.21344521209258,47.005754177753936,36.809321297533224,20.277162697752132,88.53001238088443,4.5322153604503725,246.2534943295706,tea
100.25357425903834,65.98831804552445,76.93958104391655,29.814353459576054,70.88790529938655,6.726298623937181,298.4838243359812,coconut
101.08387035323275,39.75701636069348,84.65563106963054,32.33805864384753,94.24699869937886,6.22571950838836,261.341519593579,rice
116.6513971417742,57.95405462608012,63.9604417685427,25.717353437474248,56.80275852201548,7.828725967297315,189.00921287222835,cotton
120.07478124098014,58.19827518910948,70.13902421785923,26.324706563419266,66.40746541379373,6.865619000327127,90.73677473724646,cotton
68.58469965642456,34.61405421506898,69.50371233103506,23.03631399973743,81.31423499552824,6.020510919320391,152.41885243946598,papaya
82.83708006707747,39.53999609476365,96.33421643363582,31.79872873947175,82.8586241632152,6.791695364567172,222.96387525391077,coconut
108.50384088698766,48.27682615040224,35.86032684038303,30.263495397682355,86.60228740609402,5.622038234844779,249.51769101112703,rice
114.32653353525839,60.30271262453853,75.125919573738,34.54889710009258,79.66708606117798,5.997535377510078,177.22464424062616,coconut
68.19587635819184,33.19664130063999,70.78856419022452,33.92909494365529,79.51786675791797,6.40862195733053,127.18883219185247,cashew
76.60966783410309,65.54101971560173,84.74180073700145,23.159932835084998,89.34449875345224,6.1315602200925206,273.3113022415281,rice
81.35745444184731,52.53317078111047,96.38746653261273,32.55338929503972,88.0330677342541,6.873209481360273,266.4960111558934,coconut
88.83041683546973,36.29581070509049,44.522700951751645,34.799938899007195,82.1374331435227,5.998888153451356,261.8155734318119,rice
83.35304701196802,54.806489294207154,107.75839461313807,31.096935693740384,72.2117268792791,6.441599103343399,178.01194268959904,coconut
43.52537723906766,55.535968744172614,36.95095266109473,17.72726479256008,48.60693064744401,6.330999549327311,82.39624773965306,chickpea
98.5568024085411,59.75693878192912,61.37379683529571,31.84953982313641,72.43850602995218,6.995516448590324,135.45083520191085,papaya
136.27466309359343,63.49479474302308,43.41609937163496,29.498039907044287,72.69068164230903,7.485336404330681,139.35164633165107,cotton
54.53335127665057,50.18269580675087,61.95351844667908,23.160318755454522,76.73877689619913,5.434905640493567,118.66839259143167,cashew
111.82968895654756,46.1934469831032,85.93362452946253,31.679337354557425,78.58837573704507,6.161931704199915,159.84419930036105,coconut
110.72572918447683,52.626739246562636,45.010049243848314,31.555099718461125,51.193913820069575,6.994205838808647,184.36350618219606,cotton
76.13960426610586,77.85354603823129,48.621717535414426,26.828302236227017,80.17430809862151,5.572446887794559,239.24935564066848,rice
